ciclo,desc_ai,desc_capitulo,desc_concepto,desc_ff,desc_funcion,desc_gpo_funcional,desc_modalidad,desc_partida_especifica,desc_partida_generica,desc_pp,desc_ramo,desc_subfuncion,desc_tipogasto,desc_ur,entidad_federativa,gpo_funcional,id_ai,id_capitulo,id_clave_cartera,id_concepto,id_entidad_federativa,id_ff,id_funcion,id_modalidad,id_partida_especifica,id_partida_generica,id_pp,id_ramo,id_subfuncion,id_tipogasto,id_ur,monto_adefas,monto_aprobado,monto_devengado,monto_ejercicio,monto_ejercido,monto_modificado,monto_pagado
2018,Servicios de apoyo administrativo,Servicios Generales,"Servicios Financieros, Bancarios y Comerciales",Ingresos Propios,Protección Social,Desarrollo Social,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,Servicios bancarios y financieros,Servicios financieros y bancarios,Actividades de apoyo administrativo,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Otros de Seguridad Social y Asistencia Social,Gasto corriente,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Coahuila,2,2,3000,0,3400,5,4,6,M,34101,341,1,51,9,1,GYN,,7690.00,,,,4690.00,0.00
2018,Comercialización de energía eléctrica,Servicios Generales,Servicios Básicos,Ingresos Propios,Combustibles y Energía,Desarrollo Económico,Prestación de servicios públicos,Servicio postal,Servicios postales y telegráficos,Comercialización de energía eléctrica y productos asociados,Comisión Federal de Electricidad,Electricidad,Gasto corriente,CFE Consolidado,Campeche,3,17,3000,0,3100,4,4,3,E,31801,318,581,53,5,1,TVV,,6430.00,,,,6430.00,0.00
2018,Tecnificación e innovación de las actividades del sector,Servicios Generales,Servicios de Arrendamiento,Recursos fiscales,"Ciencia, Tecnología e Innovación",Desarrollo Económico,Prestación de servicios públicos,Arrendamiento de equipo y bienes informáticos,"Arrendamiento de mobiliario y equipo de administración, educacional y recreativo",Generación de proyectos de investigación,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",Servicios Científicos y Tecnológicos,Gasto corriente,"Instituto Nacional de Investigaciones Forestales, Agrícolas y Pecuarias",Ciudad de México,3,7,3000,0,3200,9,1,8,E,32301,323,6,8,3,1,JAG,,21637000.00,,,,21637000.00,5409244.00
2018,Educación superior de calidad,Servicios Personales,Seguridad Social,Recursos fiscales,Educación,Desarrollo Social,Prestación de servicios públicos,Aportaciones al Sistema de Ahorro para el Retiro,Aportaciones al sistema para el retiro,Servicios de educación superior y posgrado,Educación Pública,Educación Superior,Gasto corriente,"El Colegio de México, A.C.",Ciudad de México,2,5,1000,0,1400,9,1,5,E,14301,143,10,11,3,1,L8K,,34107.00,,,,34107.00,5684.00
2018,Formación y capacitación de recursos humanos acordes a las necesidades y demandas de atención a la salud,Servicios Generales,Servicios Básicos,Recursos fiscales,Salud,Desarrollo Social,Prestación de servicios públicos,Servicio de energía eléctrica,Energía eléctrica,Formación y capacitación de recursos humanos para la salud,Salud,Generación de Recursos para la Salud,Gasto corriente,Instituto Nacional de Psiquiatría Ramón de la Fuente Muñiz,Ciudad de México,2,19,3000,0,3100,9,1,3,E,31101,311,10,12,3,1,M7F,,380467.00,,,,114138.00,0.00
2018,Entorno ecológico,Servicios Personales,Seguridad Social,Ingresos Propios,Combustibles y Energía,Desarrollo Económico,Prestación de servicios públicos,Aportaciones de seguridad social contractuales,Aportaciones de seguridad social,Operación y mantenimiento de la infraestructura en ecología,Petróleos Mexicanos,Petróleo y Gas Natural (Hidrocarburos),Gasto corriente,Pemex Consolidado,Ciudad de México,3,230,1000,0,1400,9,4,3,E,14104,141,12,52,2,1,TYY,,52544427.00,,,,67673872.00,7938579.00
2018,Aeropuertos eficientes y competitivos,Servicios Generales,"Servicios Financieros, Bancarios y Comerciales",Recursos fiscales,Transporte,Desarrollo Económico,Regulación y supervisión,Servicios bancarios y financieros,Servicios financieros y bancarios,"Supervisión, inspección y verificación del transporte terrestre, marítimo y aéreo",Comunicaciones y Transportes,Transporte Aéreo,Gasto corriente,Centro SCT Oaxaca,Oaxaca,3,5,3000,0,3400,20,1,5,G,34101,341,2,9,4,1,640,,60368.00,,,,56368.00,2156.15
2018,Servicios de apoyo administrativo,Servicios Generales,Servicios de Traslado y Viáticos,Recursos fiscales,Protección Ambiental,Desarrollo Social,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,Pasajes terrestres nacionales para labores en campo y de supervisión,Pasajes terrestres,Actividades de apoyo administrativo,Medio Ambiente y Recursos Naturales,Otros de Protección Ambiental,Gasto corriente,Delegación Federal en Oaxaca,Oaxaca,2,2,3000,0,3700,20,1,1,M,37201,372,1,16,6,1,140,,1000.00,,,,1000.00,0.00
2018,"Política interior y las relaciones del Ejecutivo Federal con el Congreso de la Unión, Entidades Federativas y Asociaciones Políticas y Sociales",Servicios Personales,Remuneraciones al Personal de Carácter Permanente,Recursos fiscales,Coordinación de la Política de Gobierno,Gobierno,"Planeación, seguimiento y evaluación de políticas públicas",Retribuciones por adscripción en el extranjero,Remuneraciones por adscripción laboral en el extranjero,Conducción de la política interior,Gobernación,Política Interior,Gasto corriente,Unidad de Política Interior y Análisis de Información,Ciudad de México,1,6,1000,0,1100,9,1,3,P,11401,114,1,4,2,1,216,,24880.00,,,,24880.00,0.00
2018,"Apoyo al ingreso, a la salud y a la educación de las familias en pobreza",Servicios Generales,"Servicios de Instalación, Reparación, Mantenimiento y Conservación",Recursos fiscales,Protección Social,Desarrollo Social,"Planeación, seguimiento y evaluación de políticas públicas","Mantenimiento y conservación de vehículos terrestres, aéreos, marítimos, lacustres y fluviales",Reparación y mantenimiento de equipo de transporte,"Promoción y evaluación de la política de desarrollo social y comunitario, la participación y la cohesión social",Desarrollo Social,Otros Grupos Vulnerables,Gasto corriente,Instituto Nacional de la Economía Social,Chiapas,2,8,3000,0,3500,7,1,6,P,35501,355,2,20,8,1,L00,,0.00,,,,20600.76,20600.76
2018,Ordenación y regularización de la propiedad rural y urbana,Servicios Personales,Remuneraciones Adicionales y Especiales,Recursos fiscales,Vivienda y Servicios a la Comunidad,Desarrollo Social,"Planeación, seguimiento y evaluación de políticas públicas",Primas de vacaciones y dominical,"Primas de vacaciones, dominical y gratificación de fin de año",Política de desarrollo urbano y ordenamiento del territorio,"Desarrollo Agrario, Territorial y Urbano",Urbanización,Gasto corriente,Delegación Estatal en Campeche,Campeche,2,10,1000,0,1300,4,1,2,P,13201,132,5,15,1,1,124,,22778.00,,,,22778.00,0.00
2018,"Democracia preservada y fortalecida mediante la organización de elecciones nacionales, el fomento de la participación ciudadana y la promoción del desarrollo del sistema de partidos",Servicios Personales,Previsiones,Recursos fiscales,Coordinación de la Política de Gobierno,Gobierno,Específicos,Previsiones para aportaciones al sistema de ahorro para el retiro,"Previsiones de carácter laboral, económica y de seguridad social","Dirección, soporte jurídico electoral y apoyo logístico",Instituto Nacional Electoral,Organización de Procesos Electorales,Gasto corriente,Consejeros Electorales,Ciudad de México,1,1,1000,0,1600,9,1,3,R,16106,161,8,22,6,1,102,,18612.00,,,,18612.00,0.00
2018,Regulación eficiente del sector energético,Servicios Generales,Servicios Básicos,Recursos fiscales,Combustibles y Energía,Desarrollo Económico,Regulación y supervisión,Servicios de internet,Servicios de telecomunicaciones y satélites,Regulación y permisos de hidrocarburos,Comisión Reguladora de Energía,Petróleo y Gas Natural (Hidrocarburos),Gasto corriente,Órgano de Gobierno,Ciudad de México,3,3,3000,0,3100,9,1,3,G,31603,316,2,45,2,1,100,,0.00,,,,117204.00,0.00
2018,Fondo de Aportaciones para el Fortalecimiento de los Municipios y de las Demarcaciones Territoriales del Distrito Federal,Participaciones y Aportaciones,Aportaciones,Recursos fiscales,Vivienda y Servicios a la Comunidad,Desarrollo Social,Gasto federalizado,Aportaciones federales a las entidades federativas y municipios para gastos de operación,Aportaciones de la Federación a las entidades federativas,FORTAMUN,Aportaciones Federales para Entidades Federativas y Municipios,Desarrollo Regional,Gasto corriente,"Dirección General de Programación y Presupuesto ""A""",Hidalgo,2,6,8000,0,8300,13,1,2,I,83103,831,5,33,7,1,416,,873745524.00,,,,873745524.00,218436381.00
2018,Función pública y buen gobierno,Servicios Generales,Servicios de Traslado y Viáticos,Recursos fiscales,Coordinación de la Política de Gobierno,Gobierno,Apoyo a la función pública y al mejoramiento de la gestión,Pasajes terrestres nacionales para servidores públicos de mando en el desempeño de comisiones y funciones oficiales,Pasajes terrestres,Actividades de apoyo a la función pública y buen gobierno,"Previsiones y Aportaciones para los Sistemas de Educación Básica, Normal, Tecnológica y de Adultos",Función Pública,Gasto corriente,Administración Federal de Servicios Educativos en el Distrito Federal,Ciudad de México,1,1,3000,0,3700,9,1,3,O,37204,372,1,25,4,1,C00,,5000.00,,,,5000.00,0.00
2018,Generación de energía eléctrica,Servicios Generales,Servicios de Traslado y Viáticos,Ingresos Propios,Combustibles y Energía,Desarrollo Económico,Prestación de servicios públicos,Viáticos nacionales para labores en campo y de supervisión,Viáticos en el país,Operación y mantenimiento de las centrales generadoras de energía eléctrica,Comisión Federal de Electricidad,Electricidad,Gasto corriente,CFE Consolidado,Puebla,3,13,3000,0,3700,21,4,3,E,37501,375,561,53,5,1,TVV,,1586666.00,,,,1586666.00,347467.00
2018,Servicios de apoyo administrativo,Servicios Generales,"Servicios Financieros, Bancarios y Comerciales",Recursos fiscales,Combustibles y Energía,Desarrollo Económico,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,Servicios bancarios y financieros,Servicios financieros y bancarios,Actividades de apoyo administrativo,Comisión Reguladora de Energía,Petróleo y Gas Natural (Hidrocarburos),Gasto corriente,Secretaría Ejecutiva,Ciudad de México,3,2,3000,0,3400,9,1,3,M,34101,341,1,45,2,1,300,,0.00,,,,0.00,10000.00
2018,"Oportunidad en la atención curativa, quirúrgica, hospitalaria y de rehabilitación",Servicios Generales,"Servicios Financieros, Bancarios y Comerciales",Ingresos Propios,Salud,Desarrollo Social,Prestación de servicios públicos,Servicios bancarios y financieros,Servicios financieros y bancarios,Atención a la salud,Instituto Mexicano del Seguro Social,Prestación de Servicios de Salud a la Persona,Gasto corriente,Instituto Mexicano del Seguro Social,Nuevo León,2,4,3000,0,3400,19,4,3,E,34101,341,11,50,2,1,GYR,,20226.00,,,,20226.00,0.00
2018,Generación de conocimiento científico para el bienestar de la población y difusión de sus resultados,Servicios Generales,"Servicios de Instalación, Reparación, Mantenimiento y Conservación",Recursos fiscales,"Ciencia, Tecnología e Innovación",Desarrollo Económico,Prestación de servicios públicos,"Servicios de lavandería, limpieza e higiene",Servicios de limpieza y manejo de desechos,"Investigación científica, desarrollo e innovación",Consejo Nacional de Ciencia y Tecnología,Investigación Científica,Gasto corriente,"Centro de Investigación en Materiales Avanzados, S.C.",Chihuahua,3,3,3000,0,3500,8,1,8,E,35801,358,3,38,1,1,90E,,2000000.00,,,,2000000.00,594000.00
2018,Apego a la Legalidad,Servicios Generales,Otros Servicios Generales,Recursos fiscales,Coordinación de la Política de Gobierno,Gobierno,Apoyo a la función pública y al mejoramiento de la gestión,Impuesto sobre nóminas,Impuesto sobre nóminas y otros que se deriven de una relación laboral,Inhibición y sanción de las prácticas de corrupción,Función Pública,Función Pública,Gasto corriente,Subsecretaría de Responsabilidades Administrativas y Contrataciones Públicas,Ciudad de México,1,3,3000,0,3900,9,1,3,O,39801,398,6,27,4,1,300,,274078.00,,,,278121.36,46494.62
2018,"Apoyo al ingreso, a la salud y a la educación de las familias en pobreza",Materiales y Suministros,"Combustibles, Lubricantes y Aditivos",Recursos fiscales,Protección Social,Desarrollo Social,"Planeación, seguimiento y evaluación de políticas públicas","Combustibles, lubricantes y aditivos para vehículos terrestres, aéreos, marítimos, lacustres y fluviales destinados a servicios públicos y la operación de programas públicos","Combustibles, lubricantes y aditivos","Promoción y evaluación de la política de desarrollo social y comunitario, la participación y la cohesión social",Desarrollo Social,Otros Grupos Vulnerables,Gasto corriente,Delegación SEDESOL en Nayarit,Nayarit,2,8,2000,0,2600,18,1,6,P,26102,261,2,20,8,1,138,,566619.00,,,,75000.00,0.00
2018,"Distribución de petróleo crudo, gas, petrolíferos y petroquímicos y mantenimiento de instalaciones",Materiales y Suministros,"Materiales de Administración, Emisión de Documentos y Artículos Oficiales",Ingresos Propios,Combustibles y Energía,Desarrollo Económico,Prestación de servicios públicos,Materiales y útiles consumibles para el procesamiento en equipos y bienes informáticos,"Materiales, útiles y equipos menores de tecnologías de la información y comunicaciones","Distribución de petróleo, gas, petrolíferos y petroquímicos",Petróleos Mexicanos,Petróleo y Gas Natural (Hidrocarburos),Gasto corriente,Pemex Consolidado,Veracruz,3,227,2000,0,2100,30,4,3,E,21401,214,10,52,2,1,TYY,,1000000.00,,,,139000.00,0.00
2018,Fomento y regulación de las actividades económicas y sociales para la protección del medio ambiente y recursos naturales,Servicios Generales,Servicios de Traslado y Viáticos,Recursos fiscales,Protección Ambiental,Desarrollo Social,Regulación y supervisión,Gastos para operativos y trabajos de campo en áreas rurales,Otros servicios de traslado y hospedaje,Regulación ambiental,Medio Ambiente y Recursos Naturales,Otros de Protección Ambiental,Gasto corriente,Delegación Federal en Michoacán,Michoacán,2,6,3000,0,3700,16,1,1,G,37901,379,3,16,6,1,136,,35345.00,,,,33345.00,5800.00
2018,Puertos eficientes y competitivos,Materiales y Suministros,"Herramientas, Refacciones y Accesorios Menores",Recursos fiscales,Transporte,Desarrollo Económico,Regulación y supervisión,Herramientas menores,Herramientas menores,"Supervisión, inspección y verificación del transporte terrestre, marítimo y aéreo",Comunicaciones y Transportes,Transporte por Agua y Puertos,Gasto corriente,Centro SCT Campeche,Campeche,3,4,2000,0,2900,4,1,5,G,29101,291,2,9,2,1,624,,50000.00,,,,50000.00,3320.01
2018,Servicios de apoyo administrativo,Servicios Personales,Pago de Estímulos a Servidores Públicos,Ingresos Propios,Protección Social,Desarrollo Social,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,Estímulos al personal operativo,Estímulos,Actividades de apoyo administrativo,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Otros de Seguridad Social y Asistencia Social,Gasto corriente,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Michoacán,2,2,1000,0,1700,16,4,6,M,17102,171,1,51,9,1,GYN,,0.00,,,,0.00,1044408.00
2018,Servicios de apoyo administrativo,Materiales y Suministros,Materiales y Artículos de Construcción y de Reparación,Recursos fiscales,Transporte,Desarrollo Económico,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,Material eléctrico y electrónico,Material eléctrico y electrónico,Actividades de apoyo administrativo,Comunicaciones y Transportes,Otros Relacionados con Transporte,Gasto corriente,Centro SCT Sinaloa,Sinaloa,3,2,2000,0,2400,25,1,5,M,24601,246,1,9,6,1,645,,30000.00,,,,30000.00,4778.41
2018,Servicios de apoyo administrativo,Servicios Generales,Servicios de Traslado y Viáticos,Ingresos Propios,Protección Social,Desarrollo Social,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,Viáticos nacionales para servidores públicos en el desempeño de funciones oficiales,Viáticos en el país,Actividades de apoyo administrativo,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Otros de Seguridad Social y Asistencia Social,Gasto corriente,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Chihuahua,2,2,3000,0,3700,8,4,6,M,37504,375,1,51,9,1,GYN,,412951.00,,,,242802.00,30486.00
2018,Regulación eficiente del sector energético,Servicios Personales,Seguridad Social,Recursos fiscales,Combustibles y Energía,Desarrollo Económico,Regulación y supervisión,Aportaciones al ISSSTE,Aportaciones de seguridad social,Regulación y permisos de hidrocarburos,Comisión Reguladora de Energía,Petróleo y Gas Natural (Hidrocarburos),Gasto corriente,Presidencia,Ciudad de México,3,3,1000,0,1400,9,1,3,G,14101,141,2,45,2,1,200,,48566.00,,,,50441.54,9987.54
2018,"Asistencia social, comunitaria y beneficencia pública justa y equitativa (asistencia pública)",Materiales y Suministros,Alimentos y Utensilios,Recursos fiscales,Protección Social,Desarrollo Social,Prestación de servicios públicos,"Productos alimenticios para personas derivado de la prestación de servicios públicos en unidades de salud, educativas, de readaptación social y otras",Productos alimenticios para personas,Servicios de asistencia social integral,Salud,Otros Grupos Vulnerables,Gasto corriente,Sistema Nacional para el Desarrollo Integral de la Familia,Veracruz,2,12,2000,0,2200,30,1,6,E,22102,221,40,12,8,1,NHK,,1295004.00,,,,852513.06,154477.38
2018,Gestión del Corporativo a las Empresas Subsidiarias,Servicios Personales,Otras Prestaciones Sociales y Económicas,Ingresos Propios,Combustibles y Energía,Desarrollo Económico,Prestación de servicios públicos,Cuotas para el fondo de ahorro del personal civil,Cuotas para el fondo de ahorro y fondo de trabajo,Operación de mecanismos para mejorar la comercialización de servicios y productos,Comisión Federal de Electricidad,Electricidad,Gasto corriente,CFE Consolidado,Nuevo León,3,18,1000,0,1500,19,4,3,E,15101,151,584,53,5,1,TVV,,2316669.00,,,,2316669.00,0.00
2018,"Democracia preservada y fortalecida mediante la organización de elecciones nacionales, el fomento de la participación ciudadana y la promoción del desarrollo del sistema de partidos",Materiales y Suministros,"Materiales de Administración, Emisión de Documentos y Artículos Oficiales",Recursos fiscales,Coordinación de la Política de Gobierno,Gobierno,Específicos,Material de limpieza,Material de limpieza,Vinculación con la sociedad,Instituto Nacional Electoral,Organización de Procesos Electorales,Gasto corriente,Coordinación Nacional de Comunicación Social,Ciudad de México,1,1,2000,0,2100,9,1,3,R,21601,216,10,22,6,1,104,,3311.00,,,,3311.00,0.00
2018,Mejora de la gestión pública,Servicios Personales,Seguridad Social,Recursos fiscales,Coordinación de la Política de Gobierno,Gobierno,Apoyo a la función pública y al mejoramiento de la gestión,Aportaciones al ISSSTE,Aportaciones de seguridad social,"Regulación de los procesos, trámites y servicios de la administración pública federal",Función Pública,Función Pública,Gasto corriente,Unidad de Normatividad de Contrataciones Públicas,Ciudad de México,1,5,1000,0,1400,9,1,3,O,14101,141,5,27,4,1,309,,605875.00,,,,605875.00,106360.49
2018,Impartición de Justicia en materia agraria,Servicios Generales,Servicios de Arrendamiento,Recursos fiscales,Justicia,Gobierno,Prestación de servicios públicos,Arrendamiento de equipo y bienes informáticos,"Arrendamiento de mobiliario y equipo de administración, educacional y recreativo",Resolución de asuntos relativos a conflictos y controversias por la posesión y usufructo de la tierra,Tribunales Agrarios,Impartición de Justicia,Gasto corriente,Tribunales Unitarios Agrarios,Michoacán,1,3,3000,0,3200,16,1,2,E,32301,323,1,31,1,1,200,,56000.00,,,,61975.22,19955.22
2018,Sistema Nacional de Información Estadística y Geográfica,Servicios Generales,"Servicios de Instalación, Reparación, Mantenimiento y Conservación",Recursos fiscales,Otros Servicios Generales,Gobierno,"Planeación, seguimiento y evaluación de políticas públicas","Mantenimiento y conservación de vehículos terrestres, aéreos, marítimos, lacustres y fluviales",Reparación y mantenimiento de equipo de transporte,Censo agropecuario,Información Nacional Estadística y Geográfica,Servicios Estadísticos,Gasto corriente,Instituto Nacional de Estadística y Geografía,Chihuahua,1,1,3000,0,3500,8,1,8,P,35501,355,3,40,2,1,100,,4000.00,,,,4000.00,0.00
2018,Prestaciones sociales y culturales,Servicios Personales,Seguridad Social,Ingresos Propios,Protección Social,Desarrollo Social,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,"Seguro de responsabilidad civil, asistencia legal y otros seguros",Aportaciones para seguros,Gastos administrativos por operación de fondos y seguros,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Otros de Seguridad Social y Asistencia Social,Gasto corriente,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Quintana Roo,2,11,1000,0,1400,23,4,6,M,14406,144,2,51,9,1,GYN,,0.00,,,,2242.00,0.00
2018,Función pública y buen gobierno,Servicios Personales,Seguridad Social,Recursos fiscales,Coordinación de la Política de Gobierno,Gobierno,Apoyo a la función pública y al mejoramiento de la gestión,Aportaciones al ISSSTE,Aportaciones de seguridad social,Actividades de apoyo a la función pública y buen gobierno,Cultura,Función Pública,Gasto corriente,Órgano Interno de Control,Ciudad de México,1,1,1000,0,1400,9,1,3,O,14101,141,1,48,4,1,140,,419739.00,,,,419739.00,50069.47
2018,Cobertura de la atención médica curativa,Servicios Generales,"Servicios de Instalación, Reparación, Mantenimiento y Conservación",Ingresos Propios,Salud,Desarrollo Social,Prestación de servicios públicos,"Servicios de lavandería, limpieza e higiene",Servicios de limpieza y manejo de desechos,Atención a la salud,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Prestación de Servicios de Salud a la Persona,Gasto corriente,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Tabasco,2,4,3000,0,3500,27,4,3,E,35801,358,44,51,2,1,GYN,,6277420.00,,,,6020195.00,976506.00
2018,Soberanía y seguridad nacionales en las zonas marinas mexicanas,Servicios Generales,Servicios Básicos,Recursos fiscales,Seguridad Nacional,Gobierno,Funciones de las fuerzas armadas,Servicio de agua,Agua,Emplear el poder naval de la federación para salvaguardar la soberanía y seguridad nacionales,Marina,Marina,Gasto corriente,"Fuerzas, Regiones, Zonas y Sectores Navales",Guerrero,1,3,3000,0,3100,12,1,6,A,31301,313,1,13,2,1,115,,348000.00,,,,1296150.47,1296150.47
2018,Conservación y Manejo Sustentable de los Ecosistemas y su Biodiversidad,Servicios Generales,"Servicios de Instalación, Reparación, Mantenimiento y Conservación",Recursos fiscales,Protección Ambiental,Desarrollo Social,Regulación y supervisión,Mantenimiento y conservación de mobiliario y equipo de administración,"Instalación, reparación y mantenimiento de mobiliario y equipo de administración, educacional y recreativo",Inspección y vigilancia del medio ambiente y recursos naturales,Medio Ambiente y Recursos Naturales,Otros de Protección Ambiental,Gasto corriente,Procuraduría Federal de Protección al Ambiente,Oaxaca,2,7,3000,0,3500,20,1,1,G,35201,352,5,16,6,1,E00,,20000.00,,,,20000.00,0.00
